State,District,R,D,PERCR,PERCD,DIFF,SUM,PERC,House Winner,Note
MD,1,"214,204","92,812",0.70,0.30,"121,392","307,016",0.40,R,
MD,2,"92,071","194,088",0.32,0.68,"102,017","286,159",0.36,D,
MD,3,"94,549","213,747",0.31,0.69,"119,198","308,296",0.39,D,
MD,4,"64,560","240,385",0.21,0.79,"175,825","304,945",0.58,D,
MD,5,"95,271","238,618",0.29,0.71,"143,347","333,889",0.43,D,
MD,6,"117,313","181,921",0.39,0.61,"64,608","299,234",0.22,D,
MD,7,"67,405","247,770",0.21,0.79,"180,365","315,175",0.57,D,
MD,8,"113,033","217,531",0.34,0.66,"104,498","330,564",0.32,D,
VA,1,"200,845","147,036",0.58,0.42,"53,809","347,881",0.15,R,
VA,2,"166,231","142,548",0.54,0.46,"23,683","308,779",0.08,R,
VA,3,"58,931","259,199",0.19,0.81,"200,268","318,130",0.63,D,
VA,4,"199,292","150,190",0.57,0.43,"49,102","349,482",0.14,R,
VA,5,"193,009","149,214",0.56,0.44,"43,795","342,223",0.13,R,
VA,6,"211,278","111,949",0.65,0.35,"99,329","323,227",0.31,R,
VA,7,"222,983","158,012",0.59,0.41,"64,971","380,995",0.17,R,
VA,8,"107,370","226,847",0.32,0.68,"119,477","334,217",0.36,D,
VA,9,"184,882","116,400",0.61,0.39,"68,482","301,282",0.23,R,
VA,10,"214,038","142,024",0.60,0.40,"72,014","356,062",0.20,R,
VA,11,"117,902","202,606",0.37,0.63,"84,704","320,508",0.26,D,
PA,1,"41,708","235,394",0.15,0.85,"193,686","277,102",0.70,D,
PA,2,"33,381","318,176",0.09,0.91,"284,795","351,557",0.81,D,
PA,3,"165,826","123,933",0.57,0.43,"41,893","289,759",0.14,R,
PA,4,"181,603","104,643",0.63,0.37,"76,960","286,246",0.27,R,
PA,5,"177,740","104,725",0.63,0.37,"73,015","282,465",0.26,R,
PA,6,"191,725","143,803",0.57,0.43,"47,922","335,528",0.14,R,
PA,7,"209,942","143,509",0.59,0.41,"66,433","353,451",0.19,R,
PA,8,"199,379","152,859",0.57,0.43,"46,520","352,238",0.13,R,
PA,9,"169,177","105,128",0.62,0.38,"64,049","274,305",0.23,R,
PA,10,"179,563","94,227",0.66,0.34,"85,336","273,790",0.31,R,
PA,11,"166,967","118,231",0.59,0.41,"48,736","285,198",0.17,R,
PA,12,"175,352","163,589",0.52,0.48,"11,763","338,941",0.03,R,
PA,13,"93,918","209,901",0.31,0.69,"115,983","303,819",0.38,D,
PA,14,"75,702","251,932",0.23,0.77,"176,230","327,634",0.54,D,
PA,15,"168,960","128,764",0.57,0.43,"40,196","297,724",0.14,R,
PA,16,"156,192","111,185",0.58,0.42,"45,007","267,377",0.17,R,
PA,17,"106,208","161,393",0.40,0.60,"55,185","267,601",0.21,D,
PA,18,"216,727","122,146",0.64,0.36,"94,581","338,873",0.28,R,
OH,1,"201,907","131,490",0.61,0.39,"70,417","333,397",0.21,R,
OH,2,"194,296","137,077",0.59,0.41,"57,219","331,373",0.17,R,
OH,3,"77,901","201,897",0.28,0.72,"123,996","279,798",0.44,D,
OH,4,"182,643","114,214",0.62,0.38,"68,429","296,857",0.23,R,
OH,5,"201,514","137,806",0.59,0.41,"63,708","339,320",0.19,R,
OH,6,"164,536","144,444",0.53,0.47,"20,092","308,980",0.07,R,
OH,7,"178,104","137,708",0.56,0.44,"40,396","315,812",0.13,R,
OH,8,"246,378",,1.00,0.00,"246,378","246,378",1.00,R,
OH,9,"68,668","217,771",0.24,0.76,"149,103","286,439",0.52,D,
OH,10,"208,201","131,097",0.61,0.39,"77,104","339,298",0.23,R,
OH,11,0,"258,359",0.00,1.00,"258,359","258,359",1.00,D,Democratic winner; no contest from Republican candidate
OH,12,"233,869","134,605",0.63,0.37,"99,264","368,474",0.27,R,
OH,13,"88,120","235,492",0.27,0.73,"147,372","323,612",0.46,D,
OH,14,"183,657","131,637",0.58,0.42,"52,020","315,294",0.16,R,
OH,15,"205,274","128,188",0.62,0.38,"77,086","333,462",0.23,R,
